SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamID
1,2021,SEA,395,366,761,82,138,78,97,0,26:34,302,106,166,30,954,5506,5.8,49,413,2074,5.0,18,495,324,3432,30,7,6.9,10.6,65.5,99.83,193,72,37.3,11,4,36.4,48,31,0,0,97,803,6,6,46,383,92,68,83,3895,46.9,13,18,5,61,101,86,112,6,35:10,400,124,240,36,1201,6445,5.4,41,509,1932,3.8,16,658,443,4513,24,11,6.9,10.2,67.3,91.96,224,88,39.3,31,13,41.9,61,31,0,0,96,919,7,7,34,253,103,83,68,3124,45.9,18,13,-5,64.6,0,50.8,0,47,44,0,4,1,0,0,23,17,36,31,1,5,2,2,2,33,27,829,507,33,250,79,7,7,628,386,46,386,57,13,6,17,30
2,2021,SEA,37,50,87,14,3,13,7,0,27:55,44,16,22,6,173,729,4.2,4,70,268,3.8,1,97,63,461,2,2,4.8,7.3,64.9,74.29,39,12,30.8,7,3,42.9,4,2,0,0,23,177,1,1,6,49,14,14,11,520,47.3,3,2,-1,14,16,3,17,0,33:05,53,20,32,1,191,808,4.2,6,84,264,3.1,3,96,69,544,2,1,5.7,7.9,71.9,88.19,44,20,45.5,6,4,66.7,9,5,0,0,14,130,1,1,11,64,10,9,12,525,43.8,2,3,1,50.0,0,55.6,0,4,4,0,0,0,0,0,4,3,5,5,0,0,0,0,0,6,5,140,64,11,64,6,1,1,121,51,6,49,14,1,1,3,30
2,2021,SF,65,39,104,13,24,21,7,0,31:05,59,30,22,7,200,1039,5.2,8,114,565,5.0,5,79,43,474,3,3,6,11.0,54.4,69.28,41,13,31.7,4,3,75.0,11,6,0,0,25,218,2,2,7,47,21,19,19,951,50.1,5,3,-2,7,13,10,9,0,29:55,44,15,22,7,179,632,3.5,4,64,190,3.0,1,103,68,442,3,3,4.3,6.5,66.0,72.55,38,10,26.3,1,1,100,5,4,0,0,22,196,0,0,12,74,11,11,21,1003,47.8,3,5,2,54.5,0,80.0,0,8,6,0,0,0,0,0,3,3,4,3,0,0,0,0,0,5,4,125,66,12,74,13,1,0,135,90,7,51,12,3,2,3,31
3,2021,SF,53,47,100,10,16,17,10,0,29:15,49,13,30,6,165,835,5.1,5,87,325,3.7,2,74,43,510,2,3,6.9,11.9,58.1,71.34,33,13,39.4,1,0,0,5,2,0,0,20,152,0,0,4,25,29,13,14,601,42.9,3,3,0,7,14,0,26,0,31:45,59,17,37,5,200,966,4.8,5,70,214,3.1,2,118,75,752,3,2,6.4,10.0,63.6,83.02,44,21,47.7,3,1,33.3,10,4,0,0,21,124,1,1,12,80,14,15,11,561,51,3,3,0,40.0,0,40.0,0,5,5,0,0,0,0,0,6,6,5,5,0,0,0,0,0,6,4,134,64,12,80,8,3,1,114,89,4,25,15,0,0,3,31
1,2021,SF,427,365,792,80,128,108,102,9,31:10,361,130,200,31,1046,6387,6.1,50,499,2166,4.3,22,514,343,4221,26,14,8.2,12.3,66.7,97.42,199,80,40.2,20,10,50.0,54,36,0,0,102,1066,10,10,33,216,103,98,59,2656,45.0,24,20,-4,67,108,79,108,3,30:48,318,97,180,41,1032,5270,5.1,43,439,1760,4.0,17,545,372,3510,25,9,6.4,9.4,68.3,94.21,220,88,40.0,25,11,44.0,60,34,0,0,94,793,11,11,48,364,80,66,70,3405,48.6,20,24,4,66.7,0,56.7,0,46,42,0,4,1,1,1,32,27,38,36,0,8,2,1,1,27,21,707,408,48,364,55,21,12,687,475,32,205,68,13,10,17,31
1,2021,TB,511,353,864,107,155,114,129,6,30:29,404,106,273,25,1139,6901,6.1,63,385,1672,4.3,18,731,492,5229,43,12,7.2,10.6,67.3,100.74,223,105,47.1,16,9,56.2,68,45,0,0,97,874,7,7,23,154,127,82,62,2605,42.0,19,29,10,70,119,87,77,0,30:47,344,94,214,36,1093,5635,5.2,39,366,1573,4.3,11,680,445,4062,26,17,6.0,9.1,65.4,83.84,226,87,38.5,28,13,46.4,59,31,0,0,79,635,12,12,47,285,57,58,70,3124,44.6,29,19,-10,66.2,0,52.5,0,59,56,0,3,0,1,1,31,25,36,34,0,3,1,1,1,31,27,736,316,47,285,85,16,13,730,409,23,166,65,11,7,17,33
3,2021,TB,58,45,103,17,3,24,14,0,29:28,43,13,28,2,143,708,5.0,7,45,157,3.5,4,91,59,551,3,1,6.1,9.3,64.8,87.75,27,7,25.9,5,2,40.0,8,5,0,0,8,96,1,1,7,49,18,12,11,553,50.3,2,7,5,10,10,7,18,0,31:32,38,8,27,3,132,767,5.8,5,47,168,3.6,2,81,51,599,3,2,7.4,11.7,63.0,87.42,25,9,36.0,3,1,33.3,6,3,0,0,8,90,5,5,4,25,12,13,10,447,44.7,7,2,-5,62.5,0,50.0,0,7,7,0,0,0,0,0,4,3,4,4,0,2,1,0,0,4,3,90,38,4,25,9,4,5,92,64,7,49,8,1,1,2,33
2,2021,TB,40,69,109,12,13,7,8,0,27:31,47,7,35,5,187,719,3.8,5,56,98,1.8,2,120,66,621,2,5,5.2,9.4,55.0,57.67,40,11,27.5,3,0,0,4,2,0,0,17,104,4,4,11,69,13,20,16,730,45.6,9,9,0,7,15,31,16,0,33:29,53,22,25,6,202,865,4.3,7,107,414,3.9,1,89,54,451,5,5,5.1,8.4,60.7,69.08,43,13,30.2,8,3,37.5,10,4,0,0,17,141,4,4,6,50,23,12,13,627,48.2,9,9,0,50.0,0,40.0,0,3,2,1,2,1,0,0,4,2,5,5,0,4,1,0,0,6,6,144,75,6,52,13,4,5,108,61,11,69,20,6,4,3,33
3,2021,TEN,16,19,35,0,6,10,0,0,26:35,16,7,9,0,52,353,6.8,2,27,140,5.2,1,24,15,213,1,3,8.9,14.2,62.5,65.45,8,1,12.5,1,0,0,3,1,0,0,2,15,0,0,1,7,13,8,4,166,41.5,3,1,-2,6,3,7,3,0,33:25,17,4,13,0,64,345,5.4,1,18,65,3.6,1,37,28,280,0,1,7.6,10,75.7,85.42,15,7,46.7,0,0,0,2,1,0,0,6,46,0,0,9,68,5,5,5,203,40.6,1,3,2,33.3,0,50.0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,4,4,51,24,9,68,4,0,0,43,12,1,7,5,0,0,1,34
2,2021,TEN,81,33,114,10,26,24,21,0,36:22,55,22,26,7,202,889,4.4,9,115,406,3.5,2,79,53,483,6,2,6.1,9.1,67.1,98.23,43,12,27.9,6,4,66.7,10,6,0,0,25,237,0,0,8,60,18,9,17,810,47.6,2,4,2,0,17,10,6,0,24:38,29,5,17,7,152,597,3.9,4,56,197,3.5,0,87,46,400,3,3,4.6,8.7,52.9,62.43,36,7,19.4,4,0,0,1,1,0,0,21,167,1,1,9,57,16,20,19,897,47.2,4,2,-2,60.0,0,100,0,9,9,0,0,0,0,0,6,6,3,3,0,2,0,0,0,4,2,102,50,9,57,16,4,1,148,79,8,60,9,0,0,3,34
1,2021,TEN,419,354,773,61,167,65,120,6,33:21,362,134,194,34,1133,5822,5.1,49,551,2404,4.4,24,535,359,3418,22,14,6.4,9.5,67.1,87.43,236,103,43.6,24,15,62.5,61,39,0,0,103,973,11,11,47,327,93,69,58,2570,44.3,25,22,-3,56,112,84,99,3,28:53,331,90,204,37,1039,5607,5.4,38,368,1438,3.9,14,628,395,4169,24,16,6.6,10.6,62.9,84.28,210,77,36.7,24,14,58.3,58,30,0,0,118,1070,6,6,43,316,116,88,67,2986,44.6,22,25,3,63.9,0,51.7,0,47,43,0,2,1,1,1,32,26,34,29,0,8,2,0,0,38,31,708,346,42,309,83,13,6,846,371,47,327,69,17,12,17,34
1,2021,WAS,335,434,769,58,113,65,99,0,31:44,345,129,181,35,1070,5502,5.1,38,477,2061,4.3,13,550,356,3441,21,15,6.3,9.7,64.7,83.45,224,87,38.8,32,16,50.0,50,26,0,0,82,743,9,9,43,305,104,59,62,2985,48.1,24,19,-5,98,138,76,122,0,29:16,346,101,220,25,1065,6108,5.7,51,430,1775,4.1,14,597,400,4333,34,11,7.3,10.8,67.0,99.47,229,111,48.5,20,12,60.0,59,35,0,0,96,803,8,8,38,187,104,72,63,2924,46.4,19,24,5,52.0,0,59.3,0,29,25,2,10,0,2,2,33,28,46,43,0,8,0,1,1,29,27,700,412,37,180,61,9,8,723,388,43,303,83,19,8,17,35
2,2021,WAS,33,72,105,3,13,3,14,0,29:11,56,21,34,1,196,875,4.5,3,83,308,3.7,2,109,66,567,1,1,5.2,8.6,60.6,73.45,45,18,40.0,1,0,0,6,3,0,0,7,61,1,1,4,12,9,6,17,722,42.5,2,1,-1,13,19,24,16,0,31:49,63,23,35,5,189,1025,5.4,8,91,471,5.2,4,94,61,554,4,0,5.9,9.1,64.9,94.90,39,17,43.6,1,0,0,9,5,0,0,21,138,1,1,4,19,11,9,12,600,50,1,2,1,50.0,0,55.6,0,1,1,0,4,1,0,0,7,4,7,6,1,0,0,0,0,7,6,133,75,4,19,7,2,1,133,71,3,11,9,1,1,3,35
